"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 27 15:36:26 MSK 2023","Wed Sep 27 15:36:30 MSK 2023","4008","","org.example.RegisterTest","","org.example.RegisterTest","userRegisterWithIncorrectPassword","Отображение ошибки при вводе некорректного пароля",""
"passed","Wed Sep 27 15:36:19 MSK 2023","Wed Sep 27 15:36:26 MSK 2023","6935","","org.example.RegisterTest","","org.example.RegisterTest","userRegisterWithCorrectPassword","Успешная регистрация",""
"passed","Wed Sep 27 15:36:01 MSK 2023","Wed Sep 27 15:36:05 MSK 2023","3853","","org.example.ConstructorTest","","org.example.ConstructorTest","navigateToBunsTab","Переход к разделу Булки",""
"passed","Wed Sep 27 15:35:57 MSK 2023","Wed Sep 27 15:36:01 MSK 2023","4281","","org.example.LoginTest","","org.example.LoginTest","authWithLoginButtonOnForgotPasswordPage","Вход через кнопку в форме восстановления пароля",""
"passed","Wed Sep 27 15:36:14 MSK 2023","Wed Sep 27 15:36:19 MSK 2023","4839","","org.example.PersonalAccountTest","","org.example.PersonalAccountTest","transitionToPersonalAccountAuthorizedUser","Переход в личный кабинет залогиненным пользователем",""
"passed","Wed Sep 27 15:36:09 MSK 2023","Wed Sep 27 15:36:13 MSK 2023","4715","","org.example.ConstructorTest","","org.example.ConstructorTest","navigateToSaucesTab","Переход к разделу Соусы",""
"passed","Wed Sep 27 15:35:33 MSK 2023","Wed Sep 27 15:35:43 MSK 2023","9734","","org.example.LoginTest","","org.example.LoginTest","authWithLoginButtonOnRegisterPage","Вход через кнопку в форме регистрации",""
"passed","Wed Sep 27 15:35:43 MSK 2023","Wed Sep 27 15:35:48 MSK 2023","5393","","org.example.LoginTest","","org.example.LoginTest","userlogoutFromAccount","Выход по кнопке «Выйти» в личном кабинете",""
"passed","Wed Sep 27 15:35:48 MSK 2023","Wed Sep 27 15:35:52 MSK 2023","3989","","org.example.LoginTest","","org.example.LoginTest","authWithTopBarAccountLinkOnMainPage","Вход через кнопку «Личный кабинет»",""
"passed","Wed Sep 27 15:35:52 MSK 2023","Wed Sep 27 15:35:57 MSK 2023","4351","","org.example.LoginTest","","org.example.LoginTest","authWithAccountLoginButtonOnMainPage","Вход по кнопке «Войти в аккаунт» на главной",""
"passed","Wed Sep 27 15:36:05 MSK 2023","Wed Sep 27 15:36:09 MSK 2023","3476","","org.example.ConstructorTest","","org.example.ConstructorTest","navigateToIngredientsTab","Переход к разделу Начинки",""
